model,native_language,mean,sem,count,dataset,stage,release_date
WavLM Libri-100h,Hindi,0.2819176147926148,0.008202556016057414,600,L2-Arctic,trend,2021-12
WavLM Libri-100h,Korean,0.2608145326895327,0.008237658079483498,600,L2-Arctic,trend,2021-12
WavLM Libri-100h,Spanish,0.32541101953601953,0.009230667679716762,600,L2-Arctic,trend,2021-12
WavLM Libri-100h,USA,0.09034675836146423,0.006635111187077193,408,L2-Arctic,trend,2021-12
WavLM Libri-100h,Vietnamese,0.4402967233100789,0.009751599563091571,599,L2-Arctic,trend,2021-12
Whisper Large v1,Arabic,0.6143163332779585,0.013646960505056732,443,L2-Arctic,trend,2022-09
Whisper Large v1,Chinese,0.5818713877976827,0.013214058477374864,502,L2-Arctic,trend,2022-09
Whisper Large v1,Hindi,0.44044066745679644,0.012956181736949736,558,L2-Arctic,trend,2022-09
Whisper Large v1,Korean,0.5898814326698942,0.014388182157753386,468,L2-Arctic,trend,2022-09
Whisper Large v1,Spanish,0.5251321777637568,0.013199556662921134,513,L2-Arctic,trend,2022-09
Whisper Large v1,USA,0.561070689026354,0.08551114279278187,406,L2-Arctic,trend,2022-09
Whisper Large v1,Vietnamese,0.5628191225715978,0.013957660717860627,505,L2-Arctic,trend,2022-09
Whisper Large v2,Arabic,0.08984789093303283,0.005987143431101736,599,L2-Arctic,trend,2022-12
Whisper Large v2,Chinese,0.09080887168387168,0.005399475344440904,600,L2-Arctic,trend,2022-12
Whisper Large v2,Hindi,0.0304279008029008,0.0027846229830327763,600,L2-Arctic,trend,2022-12
Whisper Large v2,Korean,0.06209418359418359,0.004719470185233331,600,L2-Arctic,trend,2022-12
Whisper Large v2,Spanish,0.07801909895659895,0.005113980752935948,600,L2-Arctic,trend,2022-12
Whisper Large v2,USA,0.021310742634272045,0.0027948388204197187,408,L2-Arctic,trend,2022-12
Whisper Large v2,Vietnamese,0.17381721307306588,0.008074552712884034,598,L2-Arctic,trend,2022-12
Whisper Large v3,Arabic,0.07764612497500643,0.005311074792991149,599,L2-Arctic,trend,2023-11
Whisper Large v3,Chinese,0.10116990688776997,0.005791326911238811,599,L2-Arctic,trend,2023-11
Whisper Large v3,Hindi,0.03807130832130831,0.003151482041468144,600,L2-Arctic,trend,2023-11
Whisper Large v3,Korean,0.05284976107179779,0.004283824818884944,599,L2-Arctic,trend,2023-11
Whisper Large v3,Spanish,0.08401489482739483,0.005326635798405706,600,L2-Arctic,trend,2023-11
Whisper Large v3,USA,0.010281024803083625,0.001723472739278446,408,L2-Arctic,trend,2023-11
Whisper Large v3,Vietnamese,0.19519866244866244,0.0086955480744854,600,L2-Arctic,trend,2023-11
Canary Qwen 2.5B,Arabic,0.061274509803921566,0.0361051957418045,3,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,Chinese,0.09598214285714285,0.03982566574723999,4,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,Hindi,0.023809523809523798,0.023809523809523798,3,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,Korean,0.11506410256410254,0.06448682902489263,4,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,Spanish,0.08708791208791208,0.04151504029898133,4,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,USA,0.0,,1,L2-Arctic Spontaneous,degradation,2025-07
Canary Qwen 2.5B,Vietnamese,0.17533936651583706,0.03800972311405303,4,L2-Arctic Spontaneous,degradation,2025-07
Deepspeech,Arabic,0.28904061624649857,0.07850812352364112,3,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,Chinese,0.46785714285714286,0.16828876876927215,4,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,Hindi,0.33980463980463976,0.10047282150091949,3,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,Korean,0.3687645687645687,0.13041879925023994,4,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,Spanish,0.39816849816849814,0.17280307941847756,4,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,USA,0.1058823529411764,,1,L2-Arctic Spontaneous,degradation,2021-10
Deepspeech,Vietnamese,0.3687782805429864,0.058108544902249586,4,L2-Arctic Spontaneous,degradation,2021-10
Google Chirp 3,Arabic,0.061274509803921566,0.0361051957418045,3,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,Chinese,0.08035714285714285,0.03908906409691577,4,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,Hindi,0.023809523809523798,0.023809523809523798,3,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,Korean,0.11506410256410254,0.06448682902489263,4,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,Spanish,0.14340659340659337,0.05115401336909988,4,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,USA,0.0,,1,L2-Arctic Spontaneous,degradation,2025-10
Google Chirp 3,Vietnamese,0.11199095022624432,0.0235391991478335,4,L2-Arctic Spontaneous,degradation,2025-10
MMS 1B All,Arabic,0.2314425770308123,0.07243161417206621,3,L2-Arctic Spontaneous,degradation,2023-05
MMS 1B All,Chinese,0.22098214285714285,0.11453742509524553,4,L2-Arctic Spontaneous,degradation,2023-05
MMS 1B All,Hindi,0.023809523809523798,0.023809523809523798,3,L2-Arctic Spontaneous,degradation,2023-05
MMS 1B All,Korean,0.36459790209790205,0.1004380772932684,4,L2-Arctic Spontaneous,degradation,2023-05
MMS 1B All,Spanish,0.2112637362637362,0.05492335244977219,4,L2-Arctic Spontaneous,degradation,2023-05
